index,Activity,Eventually I got out of bed and moved to a place more quiet. ,I read a book,I stayed in bed trying to sleep,I used a smart device (phone,I went to the toilet,Knowing the alarm was set early,Light,Naturally,Noise,Nothing,Partner,Partner ,Temperature,Thinking of busy child’s birthday on Sunday ,With an alarm,blue_light,prevent_early_sleep,recall_awake,special_circumstances_wakeup,subjective_sleep_score,work Stress,prev_subjective_score,Mentally active,Physically active,Relaxed,Sleepy,Socially active,Stressful,Visitors made me go to bed later,alcohol_time,coffee_time,eat_bedtime,medication,special_circumstances,stress_levels,stress_relief_time,workout_time,actual_day
35,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,7,0,7.0,0,0,1,0,0,0,0,,11.5,1,1,0,1,,,2022-10-31
36,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,7,0,7.0,0,0,1,0,0,0,0,,15.0,2,1,0,2,,18.25,2022-11-01
37,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,6,0,7.0,0,0,0,0,0,1,0,18.0,15.0,2,1,1,2,,,2022-11-02
38,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,2,0,1,0,7,0,6.0,0,0,1,0,0,0,0,17.5,14.0,1,1,0,1,,,2022-11-03
39,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,7,0,7.0,0,0,1,0,0,0,0,18.0,14.0,1,1,0,1,,,2022-11-04
40,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,6,0,7.0,0,0,1,0,0,0,0,,14.0,2,1,0,1,,13.5,2022-11-05
41,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,7,0,6.0,0,0,1,0,0,0,0,17.5,15.0,2,1,0,1,,13.5,2022-11-06
42,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,3,0,1,0,7,0,7.0,0,0,0,0,1,0,0,19.0,13.15,3,1,1,1,,,2022-11-07
43,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,3,0,1,0,6,0,7.0,0,0,1,0,1,0,0,17.5,13.0,1,1,1,1,,,2022-11-08
44,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,5,0,6.0,0,0,1,0,0,0,0,,14.0,1,1,0,1,,18.0,2022-11-09
45,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,7,0,5.0,0,0,1,0,1,0,0,17.5,15.5,3,1,1,1,,,2022-11-10
46,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,6,0,7.0,0,0,1,0,0,0,0,18.0,14.0,2,1,0,0,,,2022-11-11
47,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,6,0,6.0,0,0,0,0,1,0,0,,14.5,2,1,0,2,,17.0,2022-11-12
48,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,5,0,6.0,0,0,1,0,1,0,0,,15.5,1,1,0,0,,,2022-11-13
49,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,6,0,5.0,0,0,1,0,0,0,0,17.5,11.5,1,1,0,1,,14.0,2022-11-14
50,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,7,0,6.0,0,0,1,0,0,0,0,,14.0,1,1,0,1,,,2022-11-15
51,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,7,0,7.0,0,0,1,0,0,0,0,,9.5,3,1,0,1,,,2022-11-16
52,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,7,0,7.0,0,0,1,0,0,0,0,17.5,14.5,2,1,0,1,,17.5,2022-11-17
53,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,6,0,7.0,0,0,1,0,0,0,0,17.0,14.0,2,1,0,0,,,2022-11-18
54,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,6,0,6.0,0,0,1,0,1,0,0,18.0,14.0,2,1,0,1,,17.0,2022-11-19
55,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,7,0,6.0,0,1,1,0,0,0,0,18.5,13.5,1,1,0,0,20.0,,2022-11-20
56,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,2,0,1,0,6,0,7.0,0,0,1,0,0,0,0,,15.0,1,1,0,1,,13.5,2022-11-21
58,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,3,1,1,0,7,0,,0,0,1,0,0,0,0,,14.0,2,1,0,2,,18.0,2022-11-23
