average_breath,average_breath_variation,average_heart_rate,average_hrv,awake_time,deep_sleep_duration,efficiency,got_ups,latency,light_sleep_duration,lowest_heart_rate,lowest_heart_rate_time_offset,rem_sleep_duration,restless_periods,score,sleep_midpoint,time_in_bed,total_sleep_duration,wake_ups,restless,bedtime_start_delta,bedtime_end_delta,contributors.total_sleep,contributors.deep_sleep,contributors.rem_sleep,contributors.efficiency,contributors.latency,contributors.restfulness,contributors.timing,readiness.contributors.activity_balance,readiness.contributors.body_temperature,readiness.contributors.hrv_balance,readiness.contributors.previous_day_activity,readiness.contributors.previous_night,readiness.contributors.recovery_index,readiness.contributors.resting_heart_rate,readiness.contributors.sleep_balance,readiness.score,readiness.temperature_deviation,readiness.temperature_trend_deviation,bedtime_end_seconds,bedtime_start_seconds,actual_day,prev_oura_score,bed_time
12.125,4.75,55.57,37.0,4560.0,7650.0,87.0,0.0,750.0,15390.0,49.0,21330.0,6660.0,29.0,9.2,17100.0,34260,29700.0,7.0,4.0,-6048,28212,95.0,98.0,96.0,88.0,94.0,77.0,97.0,86.0,100.0,65.0,,87.0,100.0,80.0,78.0,81.0,0.02,0.13,28212.0,80352.0,2022-12-11,8.2,22.35
12.25,4.75,55.95,45.0,5580.0,8250.0,84.0,0.0,1230.0,16590.0,48.0,25410.0,5460.0,28.0,9.2,17910.0,35880,30300.0,3.0,4.0,-10098,25782,96.0,99.0,82.0,81.0,83.0,89.0,100.0,86.0,97.0,67.0,,87.0,38.0,89.0,80.0,77.0,0.09,0.17,25782.0,76302.0,2022-12-12,9.2,21.3
12.0,4.625,55.21,45.0,4890.0,8100.0,85.0,0.0,930.0,11130.0,48.0,7890.0,9480.0,27.0,9.4,17010.0,33600,28710.0,4.0,4.0,-7520,26080,92.0,99.0,100.0,86.0,97.0,87.0,100.0,86.0,100.0,69.0,,92.0,96.0,89.0,79.0,84.0,-0.14,0.09,26080.0,78880.0,2022-12-13,9.2,22.01111111111111
12.25,4.375,54.4,41.0,6660.0,5580.0,80.0,0.0,360.0,14640.0,49.0,7890.0,6240.0,26.0,8.5,15780.0,33120,26460.0,5.0,4.0,-8742,24378,83.0,96.0,94.0,72.0,75.0,84.0,100.0,85.0,100.0,68.0,,69.0,100.0,80.0,75.0,78.0,0.0,0.06,24378.0,77658.0,2022-12-14,9.4,21.616666666666667
11.875,4.375,54.22,43.0,1170.0,6150.0,96.0,0.0,630.0,17130.0,49.0,7890.0,7590.0,27.0,9.6,16080.0,32040,30870.0,4.0,4.0,-9351,22689,97.0,97.0,97.0,100.0,89.0,88.0,100.0,85.0,100.0,69.0,,97.0,100.0,80.0,80.0,84.0,-0.16,0.01,22689.0,77049.0,2022-12-15,8.5,21.424999999999997
12.0,4.25,55.92,39.0,5820.0,5880.0,82.0,0.0,600.0,14340.0,49.0,14610.0,6600.0,24.0,8.6,15510.0,32640,26820.0,7.0,4.0,-10664,21976,84.0,96.0,96.0,76.0,86.0,78.0,100.0,84.0,100.0,67.0,,71.0,96.0,80.0,76.0,77.0,-0.07,0.01,21976.0,75736.0,2022-12-16,9.6,21.07777777777778
11.875,4.125,58.13,44.0,2700.0,10680.0,93.0,0.0,420.0,13110.0,49.0,28290.0,11070.0,29.0,9.5,18240.0,37560,34860.0,4.0,4.0,-6415,31145,100.0,100.0,100.0,98.0,78.0,87.0,91.0,84.0,100.0,70.0,,95.0,55.0,81.0,77.0,78.0,-0.05,0.03,31145.0,79985.0,2022-12-18,8.0,22.230555555555554
12.25,4.375,56.92,42.0,5730.0,6060.0,83.0,0.0,1200.0,15480.0,45.0,30930.0,7170.0,20.0,9.1,16560.0,34440,28710.0,4.0,4.0,-9457,24983,92.0,97.0,97.0,79.0,86.0,88.0,100.0,86.0,82.0,73.0,,84.0,9.0,100.0,79.0,75.0,0.27,0.17,24983.0,76943.0,2022-12-20,9.4,21.430555555555557
11.875,4.375,55.42,39.0,2460.0,6540.0,92.0,0.0,2400.0,13920.0,50.0,3090.0,6780.0,25.0,8.6,15510.0,29700,27240.0,2.0,4.0,-9779,19921,86.0,97.0,96.0,97.0,32.0,93.0,100.0,85.0,95.0,71.0,,72.0,100.0,71.0,78.0,78.0,0.12,0.24,19921.0,76621.0,2022-12-21,9.1,21.28611111111111
11.625,4.5,60.04,34.0,5880.0,6270.0,84.0,0.0,480.0,16110.0,55.0,8850.0,7740.0,27.0,9.2,17790.0,36000,30120.0,4.0,4.0,-10965,25035,96.0,97.0,98.0,81.0,81.0,87.0,100.0,87.0,100.0,65.0,,87.0,100.0,29.0,81.0,73.0,-0.02,0.19,25035.0,75435.0,2022-12-22,8.6,20.991666666666667
12.125,4.25,59.67,37.0,2460.0,6420.0,91.0,0.0,930.0,13770.0,51.0,14730.0,5190.0,27.0,8.6,14040.0,27840,25380.0,7.0,5.0,-5961,21879,78.0,97.0,78.0,96.0,97.0,76.0,100.0,87.0,98.0,62.0,,72.0,52.0,64.0,76.0,70.0,0.08,0.15,21879.0,80439.0,2022-12-23,9.2,22.441666666666666
11.625,4.125,60.88,34.0,4530.0,6720.0,87.0,0.0,840.0,13890.0,52.0,13770.0,9660.0,25.0,9.5,17190.0,34800,30270.0,3.0,4.0,-8234,26566,96.0,97.0,100.0,88.0,97.0,91.0,100.0,86.0,100.0,58.0,,95.0,85.0,56.0,79.0,76.0,-0.07,0.1,26566.0,78166.0,2022-12-24,8.6,21.827777777777776
11.625,4.5,57.21,41.0,1470.0,6570.0,95.0,0.0,690.0,13410.0,50.0,14610.0,8670.0,23.0,9.5,15210.0,30120,28650.0,3.0,4.0,-6214,23906,92.0,97.0,99.0,100.0,91.0,91.0,100.0,88.0,100.0,69.0,,94.0,63.0,74.0,81.0,79.0,-0.07,-0.05,23906.0,80186.0,2022-12-27,9.0,22.33888888888889
11.625,4.625,55.47,46.0,5100.0,8310.0,87.0,0.0,450.0,16890.0,46.0,20370.0,8460.0,25.0,9.3,19320.0,38760,33660.0,10.0,4.0,-10052,28708,100.0,99.0,99.0,88.0,81.0,75.0,100.0,88.0,92.0,74.0,,89.0,51.0,100.0,89.0,84.0,0.15,0.07,28708.0,76348.0,2022-12-28,9.5,21.27777777777778
12.125,4.375,56.31,45.0,8220.0,4710.0,76.0,0.0,900.0,15450.0,47.0,10050.0,6540.0,31.0,8.5,16020.0,34920,26700.0,9.0,5.0,-9119,25801,84.0,95.0,95.0,65.0,99.0,68.0,100.0,87.0,99.0,77.0,,69.0,92.0,98.0,85.0,84.0,-0.17,0.07,25801.0,77281.0,2022-12-29,9.3,21.46944444444444
11.75,4.375,55.55,43.0,5400.0,9240.0,85.0,0.0,780.0,15480.0,48.0,15570.0,6900.0,30.0,9.3,17490.0,37020,31620.0,8.0,4.0,-9730,27290,99.0,100.0,96.0,83.0,94.0,74.0,100.0,87.0,100.0,78.0,,89.0,100.0,90.0,90.0,89.0,-0.14,0.0,27290.0,76670.0,2022-12-30,8.5,21.422222222222224
11.75,4.5,56.18,45.0,8160.0,4410.0,79.0,0.0,1770.0,18180.0,45.0,19410.0,8130.0,25.0,8.8,21390.0,38880,30720.0,4.0,4.0,-9429,29451,97.0,90.0,98.0,69.0,59.0,89.0,90.0,86.0,100.0,80.0,,77.0,80.0,100.0,91.0,87.0,-0.02,-0.01,29451.0,76971.0,2022-12-31,9.3,21.508333333333333
12.0,4.625,50.33,54.0,4860.0,9990.0,88.0,0.0,870.0,17190.0,44.0,13650.0,9180.0,26.0,9.5,20520.0,41220,36360.0,12.0,4.0,-12057,29163,100.0,100.0,100.0,90.0,99.0,73.0,100.0,86.0,85.0,87.0,,95.0,100.0,97.0,90.0,92.0,0.23,0.05,29163.0,74343.0,2023-01-02,7.4,20.65833333333333
11.625,4.375,55.58,46.0,7500.0,7770.0,80.0,1.0,1140.0,14490.0,48.0,27090.0,8400.0,24.0,9.2,19050.0,38160,30660.0,6.0,4.0,-9183,28977,97.0,99.0,99.0,72.0,89.0,82.0,100.0,87.0,97.0,87.0,,87.0,86.0,88.0,92.0,88.0,0.09,0.15,28977.0,77217.0,2023-01-03,9.5,21.59166666666667
12.0,4.125,56.47,47.0,1980.0,7110.0,93.0,0.0,420.0,14310.0,47.0,14610.0,5340.0,27.0,8.6,14400.0,28740,26760.0,8.0,5.0,-7170,21570,84.0,98.0,80.0,98.0,78.0,73.0,100.0,86.0,95.0,88.0,,72.0,54.0,96.0,87.0,82.0,0.11,0.21,21570.0,79230.0,2023-01-04,9.2,22.083333333333332
11.875,4.625,56.39,51.0,2340.0,5880.0,93.0,0.0,600.0,15270.0,49.0,12690.0,9030.0,28.0,9.5,16710.0,32520,30180.0,3.0,4.0,-8613,23907,96.0,96.0,100.0,98.0,86.0,88.0,100.0,87.0,95.0,89.0,,95.0,86.0,79.0,88.0,88.0,-0.31,0.02,23907.0,77787.0,2023-01-05,8.6,21.675
11.875,4.625,56.21,44.0,9180.0,9630.0,77.0,0.0,1170.0,12390.0,46.0,9810.0,8160.0,23.0,8.9,20070.0,39360,30180.0,10.0,4.0,-8696,30664,96.0,100.0,98.0,65.0,86.0,73.0,94.0,86.0,100.0,89.0,,80.0,44.0,100.0,89.0,84.0,-0.03,-0.03,30664.0,77704.0,2023-01-06,9.5,21.594444444444445
12.0,4.5,54.3,46.0,6360.0,7920.0,83.0,0.0,960.0,16680.0,46.0,25170.0,7320.0,30.0,9.2,18120.0,38280,31920.0,10.0,4.0,-9421,28859,99.0,99.0,97.0,81.0,97.0,69.0,100.0,85.0,99.0,89.0,,87.0,52.0,100.0,95.0,88.0,-0.18,0.03,28859.0,76979.0,2023-01-08,9.4,21.530555555555555
11.75,4.375,55.8,43.0,5400.0,6060.0,84.0,0.0,1860.0,16770.0,48.0,9810.0,6510.0,32.0,8.8,18300.0,34740,29340.0,5.0,5.0,-9517,25223,95.0,97.0,95.0,81.0,56.0,79.0,100.0,86.0,94.0,87.0,,77.0,100.0,86.0,93.0,88.0,0.13,0.05,25223.0,76883.0,2023-01-09,9.2,21.41388888888889
11.875,4.5,56.53,38.0,6000.0,6270.0,83.0,0.0,1140.0,15630.0,51.0,14610.0,7560.0,25.0,9.1,17430.0,35460,29460.0,7.0,4.0,-10217,25243,95.0,97.0,97.0,79.0,89.0,80.0,100.0,83.0,100.0,85.0,,85.0,100.0,61.0,92.0,84.0,-0.06,0.04,25243.0,76183.0,2023-01-10,8.8,21.269444444444442
12.0,4.375,57.63,36.0,3360.0,6750.0,91.0,0.0,420.0,16440.0,51.0,16530.0,9390.0,27.0,9.6,17700.0,35940,32580.0,3.0,4.0,-9094,26846,100.0,97.0,100.0,96.0,78.0,91.0,100.0,83.0,93.0,78.0,,98.0,100.0,62.0,96.0,87.0,0.14,0.1,26846.0,77306.0,2023-01-11,9.1,21.538888888888888
12.375,4.875,59.49,30.0,4680.0,3600.0,87.0,0.0,270.0,16950.0,50.0,12810.0,9690.0,22.0,8.9,17310.0,34920,30240.0,6.0,4.0,-9387,25533,96.0,73.0,100.0,88.0,72.0,83.0,100.0,83.0,99.0,66.0,,80.0,96.0,71.0,95.0,82.0,-0.17,0.01,25533.0,77013.0,2023-01-12,9.6,21.474999999999998
